,type,de,para,zmed,prec,i_de,i_para
1874,0,8541,-1,0.0,0.0,1393,-9
1884,0,8700,-1,0.0,0.0,10,-9
1549,0,5756,-1,0.0,0.0,42,-9
1552,0,5804,-1,0.0,0.0,1215,-9
1549,0,5787,-1,0.0,0.0,78,-9
1549,0,5797,-1,0.0,0.0,63,-9
1555,0,5881,-1,0.0,0.0,70,-9
1613,0,6368,-1,0.0,0.0,107,-9
1542,0,5731,-1,0.0,0.0,1211,-9
1544,0,5739,-1,0.0,0.0,44,-9
1600,0,6301,-1,0.0,0.0,120,-9
1601,0,6302,-1,0.0,0.0,45,-9
1700,0,7186,-1,0.0,0.0,83,-9
1659,0,6716,-1,0.0,0.0,54,-9
1459,0,5035,-1,0.0,0.0,131,-9
1333,0,1530,-1,0.0,0.0,245,-9
1385,0,4072,-1,0.0,0.0,885,-9
1390,0,4331,-1,0.0,0.0,898,-9
1385,0,4076,-1,0.0,0.0,895,-9
1885,0,9051,-1,0.0,0.0,236,-9
1104,0,373,-1,0.0,0.0,285,-9
1418,0,4522,-1,0.0,0.0,326,-9
1542,0,5837,-1,0.0,0.0,367,-9
1484,0,5346,-1,0.0,0.0,387,-9
1197,0,821,-1,0.0,0.0,973,-9
1887,0,9399,-1,0.0,0.0,976,-9
1340,0,2459,-1,0.0,0.0,971,-9
1341,0,2477,-1,0.0,0.0,474,-9
1898,0,9543,-1,0.0,0.0,436,-9
1943,0,10032,-1,0.0,0.0,443,-9
1076,0,174,-1,0.0,0.0,501,-9
1330,0,1717,-1,0.0,0.0,988,-9
1380,0,4120,-1,0.0,0.0,504,-9
1668,0,7055,-1,0.0,0.0,1021,-9
1231,0,963,-1,0.0,0.0,631,-9
2004,0,43065,-1,0.0,0.0,1668,-9
1142,0,479,-1,0.0,0.0,752,-9
1379,0,4239,-1,0.0,0.0,714,-9
1468,0,5301,-1,0.0,0.0,2,-9
1469,0,5302,-1,0.0,0.0,1201,-9
1839,0,8511,-1,0.0,0.0,12,-9
1840,0,8521,-1,0.0,0.0,796,-9
1586,0,6362,-1,0.0,0.0,805,-9
1522,0,5726,-1,0.0,0.0,804,-9
1555,0,6107,-1,0.0,0.0,38,-9
1769,0,8161,-1,0.0,0.0,58,-9
1762,0,8136,-1,0.0,0.0,59,-9
1549,0,6071,-1,0.0,0.0,92,-9
1753,0,8081,-1,0.0,0.0,116,-9
1644,0,6771,-1,0.0,0.0,39,-9
1811,0,8389,-1,0.0,0.0,22,-9
1623,0,6649,-1,0.0,0.0,839,-9
1532,0,5923,-1,0.0,0.0,838,-9
1492,0,5488,-1,0.0,0.0,840,-9
1447,0,5081,-1,0.0,0.0,841,-9
1489,0,5458,-1,0.0,0.0,138,-9
1497,0,5537,-1,0.0,0.0,162,-9
1612,0,6616,-1,0.0,0.0,852,-9
1486,0,5449,-1,0.0,0.0,163,-9
1495,0,5527,-1,0.0,0.0,147,-9
1084,0,228,-1,0.0,0.0,167,-9
1338,0,2987,-1,0.0,0.0,860,-9
1188,0,766,-1,0.0,0.0,207,-9
1338,0,2992,-1,0.0,0.0,184,-9
1366,0,3714,-1,0.0,0.0,182,-9
1418,0,4571,-1,0.0,0.0,202,-9
1187,0,760,-1,0.0,0.0,179,-9
1335,0,2990,-1,0.0,0.0,194,-9
1082,0,226,-1,0.0,0.0,864,-9
1188,0,790,-1,0.0,0.0,180,-9
1338,0,3018,-1,0.0,0.0,183,-9
1359,0,3723,-1,0.0,0.0,198,-9
1082,0,227,-1,0.0,0.0,165,-9
1845,0,9441,-1,0.0,0.0,188,-9
1499,0,5689,-1,0.0,0.0,879,-9
1090,0,319,-1,0.0,0.0,886,-9
1376,0,4358,-1,0.0,0.0,237,-9
1329,0,2654,-1,0.0,0.0,171,-9
1330,0,2910,-1,0.0,0.0,856,-9
1336,0,3022,-1,0.0,0.0,170,-9
1337,0,3029,-1,0.0,0.0,855,-9
1106,0,394,-1,0.0,0.0,891,-9
1332,0,3012,-1,0.0,0.0,282,-9
1257,0,1079,-1,0.0,0.0,295,-9
1373,0,4495,-1,0.0,0.0,310,-9
1372,0,4494,-1,0.0,0.0,323,-9
1370,0,4469,-1,0.0,0.0,330,-9
1577,0,6521,-1,0.0,0.0,333,-9
1579,0,6562,-1,0.0,0.0,352,-9
1579,0,6568,-1,0.0,0.0,1655,-9
1075,0,169,-1,0.0,0.0,502,-9
1461,0,5470,-1,0.0,0.0,996,-9
1506,0,6032,-1,0.0,0.0,535,-9
1436,0,5254,-1,0.0,0.0,551,-9
1435,0,5252,-1,0.0,0.0,943,-9
1436,0,5255,-1,0.0,0.0,1017,-9
1740,0,8242,-1,0.0,0.0,559,-9
1462,0,5518,-1,0.0,0.0,995,-9
1246,0,1046,-1,0.0,0.0,653,-9
1290,0,1250,-1,0.0,0.0,1043,-9
1301,0,1278,-1,0.0,0.0,651,-9
1312,0,1323,-1,0.0,0.0,622,-9
1889,0,10218,-1,0.0,0.0,588,-9
1267,0,1186,-1,0.0,0.0,585,-9
1281,0,1225,-1,0.0,0.0,629,-9
1304,0,1296,-1,0.0,0.0,662,-9
1299,0,1286,-1,0.0,0.0,655,-9
1855,0,9970,-1,0.0,0.0,630,-9
1833,0,9731,-1,0.0,0.0,596,-9
1281,0,1230,-1,0.0,0.0,626,-9
1278,0,1213,-1,0.0,0.0,619,-9
1297,0,1283,-1,0.0,0.0,1040,-9
1310,0,2078,-1,0.0,0.0,632,-9
1285,0,1254,-1,0.0,0.0,1045,-9
1244,0,1043,-1,0.0,0.0,1044,-9
1281,0,1239,-1,0.0,0.0,646,-9
1266,0,1188,-1,0.0,0.0,587,-9
1844,0,9952,-1,0.0,0.0,603,-9
1826,0,9739,-1,0.0,0.0,666,-9
1216,0,956,-1,0.0,0.0,674,-9
1290,0,1281,-1,0.0,0.0,652,-9
