,type,de,para,zmed,prec,i_de,i_para
1549,0,5756,-1,0.0,0.0,42,-9
1549,0,5787,-1,0.0,0.0,78,-9
1549,0,5797,-1,0.0,0.0,63,-9
1556,0,5881,-1,0.0,0.0,70,-9
1614,0,6368,-1,0.0,0.0,107,-9
1545,0,5739,-1,0.0,0.0,44,-9
1602,0,6301,-1,0.0,0.0,120,-9
1603,0,6302,-1,0.0,0.0,45,-9
1459,0,5035,-1,0.0,0.0,131,-9
1333,0,1530,-1,0.0,0.0,245,-9
1385,0,4072,-1,0.0,0.0,885,-9
1421,0,4522,-1,0.0,0.0,326,-9
1547,0,5837,-1,0.0,0.0,367,-9
1487,0,5346,-1,0.0,0.0,387,-9
1912,0,9543,-1,0.0,0.0,436,-9
1958,0,10032,-1,0.0,0.0,443,-9
1076,0,174,-1,0.0,0.0,501,-9
1333,0,1717,-1,0.0,0.0,988,-9
1385,0,4120,-1,0.0,0.0,504,-9
1233,0,963,-1,0.0,0.0,631,-9
1143,0,479,-1,0.0,0.0,752,-9
1384,0,4239,-1,0.0,0.0,714,-9
1474,0,5301,-1,0.0,0.0,2,-9
1565,0,6107,-1,0.0,0.0,38,-9
1783,0,8161,-1,0.0,0.0,58,-9
1559,0,6071,-1,0.0,0.0,92,-9
1767,0,8081,-1,0.0,0.0,116,-9
1656,0,6771,-1,0.0,0.0,39,-9
1826,0,8389,-1,0.0,0.0,22,-9
1453,0,5081,-1,0.0,0.0,841,-9
1496,0,5458,-1,0.0,0.0,138,-9
1505,0,5537,-1,0.0,0.0,162,-9
1625,0,6616,-1,0.0,0.0,852,-9
1493,0,5449,-1,0.0,0.0,163,-9
1503,0,5527,-1,0.0,0.0,147,-9
1084,0,228,-1,0.0,0.0,167,-9
1342,0,2987,-1,0.0,0.0,860,-9
1189,0,766,-1,0.0,0.0,207,-9
1342,0,2992,-1,0.0,0.0,184,-9
1370,0,3714,-1,0.0,0.0,182,-9
1424,0,4571,-1,0.0,0.0,202,-9
1188,0,760,-1,0.0,0.0,179,-9
1339,0,2990,-1,0.0,0.0,194,-9
1345,0,3018,-1,0.0,0.0,183,-9
1365,0,3723,-1,0.0,0.0,198,-9
1083,0,227,-1,0.0,0.0,165,-9
1871,0,9441,-1,0.0,0.0,188,-9
1091,0,319,-1,0.0,0.0,886,-9
1384,0,4358,-1,0.0,0.0,237,-9
1335,0,2654,-1,0.0,0.0,171,-9
1336,0,2910,-1,0.0,0.0,856,-9
1342,0,3022,-1,0.0,0.0,170,-9
1343,0,3029,-1,0.0,0.0,855,-9
1853,0,9051,-1,0.0,0.0,236,-9
1339,0,3012,-1,0.0,0.0,282,-9
1262,0,1079,-1,0.0,0.0,295,-9
1382,0,4495,-1,0.0,0.0,310,-9
1381,0,4494,-1,0.0,0.0,323,-9
1379,0,4469,-1,0.0,0.0,330,-9
1594,0,6521,-1,0.0,0.0,333,-9
1596,0,6562,-1,0.0,0.0,352,-9
1596,0,6568,-1,0.0,0.0,1655,-9
1075,0,169,-1,0.0,0.0,502,-9
1471,0,5470,-1,0.0,0.0,996,-9
1522,0,6032,-1,0.0,0.0,535,-9
1445,0,5254,-1,0.0,0.0,551,-9
1444,0,5252,-1,0.0,0.0,943,-9
1445,0,5255,-1,0.0,0.0,1017,-9
1762,0,8242,-1,0.0,0.0,559,-9
1473,0,5518,-1,0.0,0.0,995,-9
1251,0,1046,-1,0.0,0.0,653,-9
1295,0,1250,-1,0.0,0.0,1043,-9
1306,0,1278,-1,0.0,0.0,651,-9
1317,0,1323,-1,0.0,0.0,622,-9
1916,0,10218,-1,0.0,0.0,588,-9
1272,0,1186,-1,0.0,0.0,585,-9
1286,0,1225,-1,0.0,0.0,629,-9
1309,0,1296,-1,0.0,0.0,662,-9
1283,0,1213,-1,0.0,0.0,619,-9
1303,0,1283,-1,0.0,0.0,1040,-9
1317,0,2078,-1,0.0,0.0,632,-9
1881,0,9970,-1,0.0,0.0,630,-9
1249,0,1043,-1,0.0,0.0,1044,-9
1285,0,1230,-1,0.0,0.0,626,-9
1856,0,9731,-1,0.0,0.0,596,-9
1286,0,1239,-1,0.0,0.0,646,-9
1271,0,1188,-1,0.0,0.0,587,-9
1873,0,9952,-1,0.0,0.0,603,-9
1855,0,9739,-1,0.0,0.0,666,-9
1221,0,956,-1,0.0,0.0,674,-9
1296,0,1281,-1,0.0,0.0,652,-9
1299,0,1291,-1,0.0,0.0,1050,-9
1302,0,1325,-1,0.0,0.0,628,-9
1134,0,471,-1,0.0,0.0,718,-9
1134,0,472,-1,0.0,0.0,717,-9
1135,0,477,-1,0.0,0.0,722,-9
1637,0,7221,-1,0.0,0.0,1106,-9
1638,0,7227,-1,0.0,0.0,782,-9
